plot_id,xcoord,ycoord,heathy_200,heathy_400,heathy_600,heathy_800,heathy_1000,heathy_1200,heathy_1400,heathy_1600,heathy_1800,heathy_2000,cleared_200,cleared_400,cleared_600,cleared_800,cleared_1000,cleared_1200,cleared_1400,cleared_1600,cleared_1800,cleared_2000,edgelength_200,edgelength_400,edgelength_600,edgelength_800,edgelength_1000,edgelength_1200,edgelength_1400,edgelength_1600,edgelength_1800,edgelength_2000,firediversity_200,firediversity_400,firediversity_600,firediversity_800,firediversity_1000,firediversity_1200,firediversity_1400,firediversity_1600,firediversity_1800,firediversity_2000,midSucc_200,midSucc_400,midSucc_600,midSucc_800,midSucc_1000,midSucc_1200,midSucc_1400,midSucc_1600,midSucc_1800,midSucc_2000,growthstage,TSF
151,290340,6120446,12.33,44.91,85.41,126.09,183.33,242.1,311.22,378.09,435.51,479.52,0.18,5.13,25.74,59.85,109.89,179.73,252.99,353.79,483.48,635.22,120,1170,2820,6510,9090,15420,22260,33150,44520,57930,0.15775581,0.396938448,0.393465837,0.446283455,0.540796751,0.641353092,0.675511597,0.649724871,0.619193416,0.57605694,11.43,33.75,68.04,102.78,129.24,143.01,148.32,148.5,148.5,148.5,3,25
152,294311,6125062,9.09,22.05,39.06,68.67,109.26,138.69,164.07,189,205.29,220.68,1.35,11.16,39.42,78.03,121.05,181.08,254.07,335.52,424.26,515.43,840,2070,5850,9210,13560,20460,25440,33930,41070,46950,0.587246663,0.590792072,0.394318308,0.264045059,0.229520452,0.205631438,0.199129957,0.171148101,0.154184225,0.141868025,0,0,0,0,0,0,0,0,0,0,1,3
153,295426,6133370,4.32,17.82,44.73,73.17,116.73,163.62,217.44,270.72,318.96,375.66,7.83,28.89,60.93,112.14,168.66,243.63,331.2,442.35,572.94,715.77,960,2790,5100,7950,14280,20160,26580,35130,46560,58440,0.499614198,0.315895543,0.2205393,0.181051663,0.224118823,0.248855684,0.236800127,0.244550541,0.2733743,0.283743132,0,0.45,0.45,0.45,1.26,1.98,1.98,1.98,1.98,1.98,2,10
154,295439,6133829,12.51,39.78,66.87,95.04,130.14,179.28,232.83,297.36,354.06,401.58,0,6.03,36.54,81.9,138.6,205.11,290.88,398.43,522.99,654.93,0,1530,5070,8760,13170,17850,26640,35730,46500,59310,0,0.019386292,0.157782884,0.159824508,0.179233361,0.241476985,0.251295403,0.230047119,0.223265791,0.259190755,0,0.18,1.71,1.98,1.98,1.98,1.98,1.98,1.98,4.23,4,75
155,293138,6143383,4.86,19.8,32.22,56.25,83.61,102.51,123.75,143.28,160.47,167.31,0,0.18,20.61,49.86,104.58,183.6,258.3,351.9,460.89,584.82,0,120,3720,6840,13110,21270,28020,33570,39810,46290,0.350887782,0.491476578,0.571428571,0.638201131,0.63553835,0.61050768,0.591650154,0.559190679,0.531301661,0.515960205,2.88,16.47,28.08,41.4,47.25,47.25,47.25,47.25,47.25,47.25,4,36
156,292922,6142999,0.27,2.79,9.36,34.47,65.79,90.63,105.39,124.47,143.19,157.41,2.34,14.76,33.57,66.24,116.1,181.71,270.18,357.48,457.74,578.88,390,990,3270,5700,10050,16500,22530,30810,38040,44730,0.297520661,0.372319074,0.560057194,0.609712591,0.615612952,0.619211488,0.60481452,0.584461604,0.561160705,0.530219224,8.91,28.17,43.11,45.9,45.9,47.16,47.25,47.25,47.25,47.25,3,24
157,294768,6112891,11.7,30.15,66.69,106.11,142.56,185.67,228.42,280.26,347.58,432.99,1.26,9.45,26.1,60.75,119.43,195.84,284.85,386.28,501.66,626.58,300,1350,7020,11700,15330,19710,24360,29550,31800,33210,0.299283259,0.507018156,0.560250595,0.530975713,0.505579294,0.554876105,0.603261166,0.634838881,0.648755548,0.652092879,9.63,26.46,49.14,80.28,114.39,133.65,142.74,142.74,142.74,142.74,3,29
158,295983,6129930,8.28,19.26,29.07,33.21,36.63,45.63,73.08,105.21,151.65,205.11,4.23,28.98,76.14,140.49,220.32,317.07,427.77,566.46,708.21,855.54,720,2880,5640,8850,11250,14640,20010,27150,36720,44100,0,0,0,0,0.080006049,0.142646123,0.115373156,0.096742015,0.111537735,0.129548237,0,0,0,0,0,0,0,0,0,0,4,85
161,292246,6143739,4.68,10.89,14.4,18.45,29.34,45.99,53.91,64.71,87.57,106.92,3.24,7.2,14.67,26.46,34.56,58.05,111.06,173.97,246.78,333.45,510,1170,2700,4710,6180,11040,15630,23490,29550,37380,0.453983083,0.498133808,0.606020602,0.647897135,0.645040675,0.60557473,0.57319602,0.55050479,0.557320422,0.551395774,0,0,7.38,22.32,39.6,45.63,45.9,46.53,47.25,47.25,2,8
164,286312,6122020,3.69,7.92,21.33,43.92,84.6,147.87,230.67,305.64,364.41,438.93,0.9,11.79,35.28,69.21,107.19,141.75,176.85,212.13,262.35,313.2,390,1770,5040,8400,13470,20100,27570,32190,38970,48300,0.200550809,0.436810183,0.579511891,0.583344905,0.519983556,0.43323922,0.37704028,0.349647364,0.327552164,0.305771653,0,0,0,0,0,0,0,0,0,0,2,9
